TuFaRu	возьми ту фару автомобиля	"<img src=""T-TuFaRu-major-root-keyboard.png"">"	"<img src=""T-TuFaRu-major-root-pianoroll.png"">"	major root	"<img src=""T-TuFaRu-major-root-keyboard-coloured.png"">"	"<img src=""T-TuFaRu-major-root-pianoroll-coloured.png"">"	Chord-Syllables
JuPaTu		"<img src=""J-JuPaTu-major-root-keyboard.png"">"	"<img src=""J-JuPaTu-major-root-pianoroll.png"">"	major root	"<img src=""J-JuPaTu-major-root-keyboard-coloured.png"">"	"<img src=""J-JuPaTu-major-root-pianoroll-coloured.png"">"	Chord-Syllables
RuKaNu		"<img src=""R-RuKaNu-major-root-keyboard.png"">"	"<img src=""R-RuKaNu-major-root-pianoroll.png"">"	major root	"<img src=""R-RuKaNu-major-root-keyboard-coloured.png"">"	"<img src=""R-RuKaNu-major-root-pianoroll-coloured.png"">"	
KuMaGu		"<img src=""K-KuMaGu-major-root-keyboard.png"">"	"<img src=""K-KuMaGu-major-root-pianoroll.png"">"	major root	"<img src=""K-KuMaGu-major-root-keyboard-coloured.png"">"	"<img src=""K-KuMaGu-major-root-pianoroll-coloured.png"">"	duplicate
KuNiGu	Книгу и Куни	"<img src=""K-KuNiGu-minor-root-keyboard.png"">"	"<img src=""K-KuNiGu-minor-root-pianoroll.png"">"	minor root	"<img src=""K-KuNiGu-minor-root-keyboard-coloured.png"">"	"<img src=""K-KuNiGu-minor-root-pianoroll-coloured.png"">"	duplicate
KuMaRu		"<img src=""K-KuMaRu-augmented-root-keyboard.png"">"	"<img src=""K-KuMaRu-augmented-root-pianoroll.png"">"	augmented root	"<img src=""K-KuMaRu-augmented-root-keyboard-coloured.png"">"	"<img src=""K-KuMaRu-augmented-root-pianoroll-coloured.png"">"	duplicate
KuNiJya		"<img src=""K-KuNiJya-diminished-root-keyboard.png"">"	"<img src=""K-KuNiJya-diminished-root-pianoroll.png"">"	diminished root	"<img src=""K-KuNiJya-diminished-root-keyboard-coloured.png"">"	"<img src=""K-KuNiJya-diminished-root-pianoroll-coloured.png"">"	duplicate
MoGyKu		"<img src=""K-MoGyKu-major-first inversion-keyboard.png"">"	"<img src=""K-MoGyKu-major-first inversion-pianoroll.png"">"	major first inversion	"<img src=""K-MoGyKu-major-first inversion-keyboard-coloured.png"">"	"<img src=""K-MoGyKu-major-first inversion-pianoroll-coloured.png"">"	duplicate
NeGyKu		"<img src=""K-NeGyKu-minor-first inversion-keyboard.png"">"	"<img src=""K-NeGyKu-minor-first inversion-pianoroll.png"">"	minor first inversion	"<img src=""K-NeGyKu-minor-first inversion-keyboard-coloured.png"">"	"<img src=""K-NeGyKu-minor-first inversion-pianoroll-coloured.png"">"	duplicate
MoRyKu		"<img src=""K-MoRyKu-augmented-first inversion-keyboard.png"">"	"<img src=""K-MoRyKu-augmented-first inversion-pianoroll.png"">"	augmented first inversion	"<img src=""K-MoRyKu-augmented-first inversion-keyboard-coloured.png"">"	"<img src=""K-MoRyKu-augmented-first inversion-pianoroll-coloured.png"">"	duplicate
