Ionian Mode: L->L	"<img src=""mode-Ionian-L-up.png"">"		LuBaTaDu MuJaRaLuu	"<img src=""mode-Ionian-L-up-no-colours.png"">"
Dorian Mode: L->L	"<img src=""mode-Dorian-L-up.png""/>"		LuBaKiDu MuJaGiLuu	"<img src=""mode-Dorian-L-up-no-colours.png"">"	
Lydian Mode: L->L	"<img src=""mode-Lydian-L-up.png""/>"		LuBaTaNya MuJaRaLuu	"<img src=""mode-Lydian-L-up-no-colours.png"">"	
Mixolydian Mode: L->L	"<img src=""mode-Mixolydian-L-up.png""/>"		LuBaTaDu MuJaGiLuu	"<img src=""mode-Mixolydian-L-up-no-colours.png"">"	
Aeolian Mode: L->L	"<img src=""mode-Aeolian-L-up.png""/>"		LuBaKiDu MuFiGiLuu	"<img src=""mode-Aeolian-L-up-no-colours.png"">"	
Locrian Mode: L->L	"<img src=""mode-Locrian-L-up.png""/>"		LuPiKiDu NyaFiGiLuu	"<img src=""mode-Locrian-L-up-no-colours.png"">"	
Ionian Mode: L<-L	"<img src=""mode-Ionian-L-do.png""/>"		LuReJeMy DyTeBeLy	"<img src=""mode-Ionian-L-do-no-colours.png""/>"	
Dorian Mode: L<-L	"<img src=""mode-Dorian-L-do.png""/>"		LuGoJeMy DyKoBeLy	"<img src=""mode-Dorian-L-do-no-colours.png"">"	
Lydian Mode: L<-L	"<img src=""mode-Lydian-L-do.png""/>"		LuReJeMy NyoTeBeLy	"<img src=""mode-Lydian-L-do-no-colours.png"">"	
Mixolydian Mode: L<-L	"<img src=""mode-Mixolydian-L-do.png""/>"		LuGoJeMy DyTeBeLy	"<img src=""mode-Mixolydian-L-do-no-colours.png"">"	
Aeolian Mode: L<-L	"<img src=""mode-Aeolian-L-do.png""/>"		LuGoFoMy DyKoBeLy	"<img src=""mode-Aeolian-L-do-no-colours.png"">"	
Locrian Mode: L<-L	"<img src=""mode-Locrian-L-do.png""/>"		LuGoFoNyo DyKoPoLy	"<img src=""mode-Locrian-L-do-no-colours.png"">"	
Ionian Mode: B->B	"<img src=""mode-Ionian-B-up.png"">"		BuTaNaMu JuRaPaBuu	"<img src=""mode-Ionian-B-up-no-colours.png"" style=""float: left;"">"	
Dorian Mode: B->B	"<img src=""mode-Dorian-B-up.png""/>"		BuTaDiMu JuRaLiBuu	"<img src=""mode-Dorian-B-up-no-colours.png"">"	
Lydian Mode: B->B	"<img src=""mode-Lydian-B-up.png""/>"		BuTaNaFya JuRaPaBuu	"<img src=""mode-Lydian-B-up-no-colours.png""/>"	
Mixolydian Mode: B->B	"<img src=""mode-Mixolydian-B-up.png""/>"		BuTaNaMu JuRaLiBuu	"<img src=""mode-Mixolydian-B-up-no-colours.png"">"	
Aeolian Mode: B->B	"<img src=""mode-Aeolian-B-up.png"">"		BuTaDiMu JuGiLiBuu	"<img src=""mode-Aeolian-B-up-no-colours.png"">"	
Locrian Mode: B->B	"<img src=""mode-Locrian-B-up.png""/>"		BuKiDiMu FyaGiLiBuu	"<img src=""mode-Locrian-B-up-no-colours.png"">"	
Ionian Mode: B&lt;-B	"<img src=""mode-Ionian-B-do.png"">"		BuPeReJy MyNeTeBy	"<img src=""mode-Ionian-B-do-no-colours.png"">"	
Dorian Mode: B<-B	"<img src=""mode-Dorian-B-do.png""/>"		BuLoReJy MyDoTeBy	"<img src=""mode-Dorian-B-do-no-colours.png"">"	
Lydian Mode: B<-B	"<img src=""mode-Lydian-B-do.png""/>"		BuPeReJy FyoNeTeBy	"<img src=""mode-Lydian-B-do-no-colours.png"">"	
Mixolydian Mode: B<-B	"<img src=""mode-Mixolydian-B-do.png""/>"		BuLoReJy MyNeTeBy	"<img src=""mode-Mixolydian-B-do-no-colours.png""/>"	
Aeolian Mode: B<-B	"<img src=""mode-Aeolian-B-do.png""/>"		BuLoGoJy MyDoTeBy	"<img src=""mode-Aeolian-B-do-no-colours.png"">"	
Locrian Mode: B<-B	"<img src=""mode-Locrian-B-do.png""/>"		BuLoGoFyo MyDoKoBy	"<img src=""mode-Locrian-B-do-no-colours.png""/>"	
Ionian Mode: K->K	"<img src=""mode-Ionian-K-up.png""/>"		KuDaMaFu GuLaBaKuu	"<img src=""mode-Ionian-K-up-no-colours.png"">"	
Dorian Mode: K->K	"<img src=""mode-Dorian-K-up.png""/>"		KuDaNiFu GuLaPiKuu	"<img src=""mode-Dorian-K-up-no-colours.png"">"	
Lydian Mode: K->K	"<img src=""mode-Lydian-K-up.png""/>"		KuDaMaJya GuLaBaKuu	"<img src=""mode-Lydian-K-up-no-colours.png"">"	
Mixolydian Mode: K->K	"<img src=""mode-Mixolydian-K-up.png""/>"		KuDaMaFu GuLaPiKuu	"<img src=""mode-Mixolydian-K-up-no-colours.png"">"	
