Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
KuMaGu		<img src="K-KuMaGu-major-root-keyboard-2.png">	<img src="K-KuMaGu-major-root-pianoroll-2.png">	major root	<img src="K-KuMaGu-major-root-keyboard-coloured-2.png">	<img src="K-KuMaGu-major-root-pianoroll-coloured-2.png">	first inversion	MoGyKu	<img src="K-MoGyKu-major-first inversion-keyboard-coloured-2.png">	second inversion	GyKuMa	<img src="K-GyKuMa-major-second inversion-keyboard-coloured-2.png">
KuNiGu	Книгу и Куни	<img src="K-KuNiGu-minor-root-keyboard-2.png">	<img src="K-KuNiGu-minor-root-pianoroll-2.png">	minor root	<img src="K-KuNiGu-minor-root-keyboard-coloured-2.png">	<img src="K-KuNiGu-minor-root-pianoroll-coloured-2.png">	first inversion	NeGyKu	<img src="K-NeGyKu-minor-first inversion-keyboard-coloured-2.png">	second inversion	GyKuNi	<img src="K-GyKuNi-minor-second inversion-keyboard-coloured-2.png">
KuMaRi		<img src="K-KuMaRi-augmented-root-keyboard-2.png">	<img src="K-KuMaRi-augmented-root-pianoroll-2.png">	augmented root	<img src="K-KuMaRi-augmented-root-keyboard-coloured-2.png">	<img src="K-KuMaRi-augmented-root-pianoroll-coloured-2.png">	first inversion	MoReKu	<img src="K-MoReKu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	ReKuMa	<img src="K-ReKuMa-augmented-second inversion-keyboard-coloured-2.png">
KuNiJya		<img src="K-KuNiJya-diminished-root-keyboard-2.png">	<img src="K-KuNiJya-diminished-root-pianoroll-2.png">	diminished root	<img src="K-KuNiJya-diminished-root-keyboard-coloured-2.png">	<img src="K-KuNiJya-diminished-root-pianoroll-coloured-2.png">	first inversion	NeJyoKu	<img src="K-NeJyoKu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	JyoKuNi	<img src="K-JyoKuNi-diminished-second inversion-keyboard-coloured-2.png">
MoGyKu		<img src="K-MoGyKu-major-first inversion-keyboard-2.png">	<img src="K-MoGyKu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="K-MoGyKu-major-first inversion-keyboard-coloured-2.png">	<img src="K-MoGyKu-major-first inversion-pianoroll-coloured-2.png">	root	KuMaGu	<img src="K-KuMaGu-major-root-keyboard-coloured-2.png">	second inversion	GyKuMa	<img src="K-GyKuMa-major-second inversion-keyboard-coloured-2.png">
NeGyKu		<img src="K-NeGyKu-minor-first inversion-keyboard-2.png">	<img src="K-NeGyKu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="K-NeGyKu-minor-first inversion-keyboard-coloured-2.png">	<img src="K-NeGyKu-minor-first inversion-pianoroll-coloured-2.png">	root	KuNiGu	<img src="K-KuNiGu-minor-root-keyboard-coloured-2.png">	second inversion	GyKuNi	<img src="K-GyKuNi-minor-second inversion-keyboard-coloured-2.png">
MoReKu		<img src="K-MoReKu-augmented-first inversion-keyboard-2.png">	<img src="K-MoReKu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="K-MoReKu-augmented-first inversion-keyboard-coloured-2.png">	<img src="K-MoReKu-augmented-first inversion-pianoroll-coloured-2.png">	root	KuMaRi	<img src="K-KuMaRi-augmented-root-keyboard-coloured-2.png">	second inversion	ReKuMa	<img src="K-ReKuMa-augmented-second inversion-keyboard-coloured-2.png">
NeJyoKu		<img src="K-NeJyoKu-diminished-first inversion-keyboard-2.png">	<img src="K-NeJyoKu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="K-NeJyoKu-diminished-first inversion-keyboard-coloured-2.png">	<img src="K-NeJyoKu-diminished-first inversion-pianoroll-coloured-2.png">	root	KuNiJya	<img src="K-KuNiJya-diminished-root-keyboard-coloured-2.png">	second inversion	JyoKuNi	<img src="K-JyoKuNi-diminished-second inversion-keyboard-coloured-2.png">
GyKuMa		<img src="K-GyKuMa-major-second inversion-keyboard-2.png">	<img src="K-GyKuMa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="K-GyKuMa-major-second inversion-keyboard-coloured-2.png">	<img src="K-GyKuMa-major-second inversion-pianoroll-coloured-2.png">	root	KuMaGu	<img src="K-KuMaGu-major-root-keyboard-coloured-2.png">	first inversion	MoGyKu	<img src="K-MoGyKu-major-first inversion-keyboard-coloured-2.png">
GyKuNi		<img src="K-GyKuNi-minor-second inversion-keyboard-2.png">	<img src="K-GyKuNi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="K-GyKuNi-minor-second inversion-keyboard-coloured-2.png">	<img src="K-GyKuNi-minor-second inversion-pianoroll-coloured-2.png">	root	KuNiGu	<img src="K-KuNiGu-minor-root-keyboard-coloured-2.png">	first inversion	NeGyKu	<img src="K-NeGyKu-minor-first inversion-keyboard-coloured-2.png">
ReKuMa		<img src="K-ReKuMa-augmented-second inversion-keyboard-2.png">	<img src="K-ReKuMa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="K-ReKuMa-augmented-second inversion-keyboard-coloured-2.png">	<img src="K-ReKuMa-augmented-second inversion-pianoroll-coloured-2.png">	root	KuMaRi	<img src="K-KuMaRi-augmented-root-keyboard-coloured-2.png">	first inversion	MoReKu	<img src="K-MoReKu-augmented-first inversion-keyboard-coloured-2.png">
JyoKuNi		<img src="K-JyoKuNi-diminished-second inversion-keyboard-2.png">	<img src="K-JyoKuNi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="K-JyoKuNi-diminished-second inversion-keyboard-coloured-2.png">	<img src="K-JyoKuNi-diminished-second inversion-pianoroll-coloured-2.png">	root	KuNiJya	<img src="K-KuNiJya-diminished-root-keyboard-coloured-2.png">	first inversion	NeJyoKu	<img src="K-NeJyoKu-diminished-first inversion-keyboard-coloured-2.png">
TuFaRu	возьми ту фару автомобиля	<img src="T-TuFaRu-major-root-keyboard-2.png">	<img src="T-TuFaRu-major-root-pianoroll-2.png">	major root	<img src="T-TuFaRu-major-root-keyboard-coloured-2.png">	<img src="T-TuFaRu-major-root-pianoroll-coloured-2.png">	first inversion	FoRyTu	<img src="T-FoRyTu-major-first inversion-keyboard-coloured-2.png">	second inversion	RyTuFa	<img src="T-RyTuFa-major-second inversion-keyboard-coloured-2.png">
TuMiRu		<img src="T-TuMiRu-minor-root-keyboard-2.png">	<img src="T-TuMiRu-minor-root-pianoroll-2.png">	minor root	<img src="T-TuMiRu-minor-root-keyboard-coloured-2.png">	<img src="T-TuMiRu-minor-root-pianoroll-coloured-2.png">	first inversion	MeRyTu	<img src="T-MeRyTu-minor-first inversion-keyboard-coloured-2.png">	second inversion	RyTuMi	<img src="T-RyTuMi-minor-second inversion-keyboard-coloured-2.png">
